MESH2_ID,図名・漢字,図名・よみ,号数
664325.000,登栄床,とえとこ,紋別7号-2
664326.000,,,
664520.000,,,
664521.000,ルシャ川,るしゃがわ,知床岬15号-2
664522.000,知床岳,しれとこだけ,知床岬11号-4
664523.000,,,
664114.000,,,
664115.000,港町,みなとまち,羽幌8号-1
664116.000,ルペシュペナイ,るぺしゅぺないがわ,羽幌4号-3
664117.000,大天狗岳,だいてんぐだけ,羽幌4号-1
664210.000,三頭山,さんとうざん,名寄16号-3
664211.000,政和,せいわ,名寄16号-1
664212.000,剣淵,けんぶち,名寄12号-3
664213.000,上士別,かみしべつ,名寄12号-1
664214.000,中央,ちゅうおう,名寄8号-3
664215.000,岩尾内湖,いわおないこ,名寄8号-1
664216.000,藻瀬狩山,もせかりざん,名寄4号-3
664217.000,茂瀬,もせ,名寄4号-1
664310.000,滝西,たきにし,紋別16号-3
664311.000,立牛,たつうし,紋別16号-1
664312.000,立牛岳,たつうしだけ,紋別12号-3
664313.000,上富美,かみふみ,紋別12号-1
664314.000,上湧別,かみゆうべつ,紋別8号-3
664315.000,芭露,ばろう,紋別8号-1
664316.000,サロマ湖,さろまこ,紋別4号-3
664317.000,サロマ湖東部,さろまことうぶ,紋別4号-1
664410.000,常呂,ところ,網走16号-3
664411.000,能取岬,のとろみさき,網走16号-1
664412.000,,,
664416.000,,,
664417.000,,,
664510.000,知床五湖,しれとこごこ,知床岬16号-3
664511.000,硫黄山,いおうざん,知床岬16号-1
664512.000,,,
664104.000,,,
664105.000,小平,おびら,羽幌8号-2
664106.000,達布,たっぷ,羽幌4号-4
664107.000,滝下,たきした,羽幌4号-2
664200.000,長留内岳,おさるないだけ,名寄16号-4
664201.000,幌加内,ほろかない,名寄16号-2
664202.000,三和,さんわ,名寄12号-4
664203.000,和寒,わっさむ,名寄12号-2
664204.000,乙部山,おつぶやま,名寄8号-4
664205.000,茂志利,もしり,名寄8号-2
664206.000,於鬼頭岳,おきとだけ,名寄4号-4
664207.000,渚滑岳,しょこつだけ,名寄4号-2
664300.000,上雄柏,かみゆうはく,紋別16号-4
664301.000,丸立峠,まるたつとうげ,紋別16号-2
664302.000,丸瀬布北部,まるせっぷほくぶ,紋別12号-4
